Frequency,Mode,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source,Stn,Call sign,Additional info,Remarks,Position of site,Active,Year
11660000,AM,BBC World Service,1930,2000,Hausa,Ascension,Ascension Island,12345.7,wAFse,125,55,Ascension Island,ILGRadio,BBC,,,,"014 22 37W,07 53 53S",C,
11660000,AM,BBC World Service,1930,2030,Hausa,Ascension,Ascension Island,.....6.,wAFse,125,55,Ascension Island,ILGRadio,BBC,,,,"014 22 37W,07 53 53S",C,2211
11660000,AM,Follow The Bible Ministries,1900,1930,English/Kanuri,Ascension,Ascension Island,1......,wAFse,250,65,Ascension Island,ILGRadio,FTBM,,,,"014 22 37W,07 53 53S",C,NONE
11660000,AM,CNR Beijing 2,0101,0600,Mandarin,Xian-Xianyang,China,1234567,(CHNc  ),150,0,China,ILGRadio,CNR 2,,,,"108 36 37E,34 22 33N",C,2211
11660000,AM,CNR Beijing 2,0600,0900,Mandarin,Xian-Xianyang,China,123.567,(CHNc  ),150,0,China,ILGRadio,CNR 2,,,,"108 36 37E,34 22 33N",C,2211
11660000,AM,Chinese Jammer,1100,1200,Mandarin,Kashi II,China,1234567,(CHN   ),250,90,China,ILGRadio,Jamme,,,JAMMING VOA MAN,"075 42 55E,39 21 51N",C,2211
11660000,AM,Chinese Jammer,1200,1300,Mandarin,Kashi II,China,1234567,(CHN   ),250,90,China,ILGRadio,Jamme,,,JAMMING VOA MAN,"075 42 55E,39 21 51N",C,2212
11660000,AM,Chinese Jammer,1300,1400,Mandarin,Kashi II,China,1234567,(CHN   ),250,90,China,ILGRadio,Jamme,,,JAMMING VOA MAN,"075 42 55E,39 21 51N",C,2212
11660000,AM,Chinese Jammer,1400,1500,Mandarin,Kashi II,China,1234567,(CHN   ),250,90,China,ILGRadio,Jamme,,,JAMMING VOA MAN,"075 42 55E,39 21 51N",C,2211
11660000,AM,BBC World Service,1800,1830,French,Woofferton,United Kingdom,1234567,cAF,250,160,United Kingdom,ILGRadio,BBC,,,,"002 43 22W,52 18 49N",C,2211
11660000,AM,Voice of America,1100,1200,Mandarin,Tinang,Philippines,1234567,cAS,250,349,Philippines,ILGRadio,VOA,,,,"120 37 33E,15 22 44N",C,2211
11660000,AM,Voice of America,1300,1400,Mandarin,Tinang,Philippines,1234567,cAS,250,332,Philippines,ILGRadio,VOA,,,,"120 37 33E,15 22 44N",C,2212
11660000,AM,Voice of America,1400,1430,Mandarin,Tinang,Philippines,1234567,cAS,250,332,Philippines,ILGRadio,VOA,,,,"120 37 33E,15 22 44N",C,2211
11660000,AM,R.Romania International,0730,0756,Arabic,Galbeni,Romania,1234567,nwAF,300,245,Romania,ILGRadio,ROMAN,,,,"026 51 17E,46 45 06N",C,2211
11660000,AM,Trans World Radio,1630,1645,Kambaata,Mpangela Ranch,eSwatini,.....67,eAF,100,13,Swaziland,ILGRadio,TWR,,,,"031 35 54E,26 20 23S",C,
11660000,AM,Trans World Radio,1630,1700,Amharic/Oromo,Mpangela Ranch,eSwatini,12345..,eAF,100,13,Swaziland,ILGRadio,TWR,,,,"031 35 54E,26 20 23S",C,2211
11660000,AM,Trans World Radio,1645,1700,Hadiya,Mpangela Ranch,eSwatini,.....67,eAF,100,13,Swaziland,ILGRadio,TWR,,,,"031 35 54E,26 20 23S",C,
11660000,AM,Trans World Radio,1700,1730,Amharic,Mpangela Ranch,eSwatini,1234567,eAF,100,13,Swaziland,ILGRadio,TWR,,,,"031 35 54E,26 20 23S",C,2211
11660000,AM,Trans World Radio,1730,1800,Oromo,Mpangela Ranch,eSwatini,.23456.,eAF,100,13,Swaziland,ILGRadio,TWR,,,,"031 35 54E,26 20 23S",C,2211
11660000,AM,Voice of America,1200,1300,Mandarin,Udon Thani,Thailand,1234567,cAS,250,30,Thailand,ILGRadio,VOA,,,,"103 12 00E,17 40 31N",C,2212
11660000,AM,Voice of America,1430,1500,Mandarin,Udon Thani,Thailand,1234567,cAS,250,30,Thailand,ILGRadio,VOA,,,,"103 12 00E,17 40 31N",C,2211
