Frequency,M,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source
5960000,AM,Turkish Radio-TV Corp,18:30,21:00,Turkish,Emirler,Turkey,1234567,,250,150,Turkey,HFCC
5960000,AM,TDF (France),19:00,19:50,English,Issoudun,France,17,,250,333,France,HFCC
5960000,AM,TDF (France),20:00,20:35,English,Issoudun,France,1,,250,333,France,HFCC
5960000,AM,China National Radio,23:30,18:00,Chinese,Urumqi,China,1234567,,100,0,China,HFCC
5965000,AM,China National Radio,10:00,18:05,Chinese,Nanning,China,1234567,,100,142,China,HFCC
5965000,AM,Japan International Communications,13:00,14:00,Multiple languages,Tokyo Yamata,Japan,1234567,,300,290,Japan,HFCC
5965000,AM,China Radio International,14:00,15:00,Korean,Xian,China,1234567,,500,73,China,HFCC
5965000,AM,China Radio International,15:00,16:00,Russian,Beijing,China,1234567,,500,55,China,HFCC
5970000,AM,China National Radio,03:55,06:20,Chinese,Lanzhou,China,1234567,,50,0,China,HFCC
5970000,AM,Radio Delta International,06:00,16:00,Dutch,Elburg,Netherlands,1234567,,5,0,Netherlands,HFCC
5970000,AM,China National Radio,10:25,13:45,Chinese,Lanzhou,China,1234567,,50,0,China,HFCC
5970000,AM,BBC Worldservice,14:00,15:00,Dari,A'Seela,Oman,1234567,,250,35,Oman,HFCC
5970000,AM,BBC Worldservice,15:00,16:00,Pushto,A'Seela,Oman,1234567,,250,35,Oman,HFCC
5970000,AM,BBC Worldservice,16:00,16:30,Dari,A'Seela,Oman,1234567,,250,63,Oman,HFCC
5970000,AM,BBC Worldservice,16:30,17:00,Dari,A'Seela,Oman,17,,250,63,Oman,HFCC
5970000,AM,BBC Worldservice,16:30,17:00,Pushto,A'Seela,Oman,23456,,250,63,Oman,HFCC
5970000,AM,BBC Worldservice,18:00,18:30,Persian,A'Seela,Oman,1234567,,250,345,Oman,HFCC
5970000,AM,BBC Worldservice,18:30,19:30,Persian,A'Seela,Oman,1234567,,250,345,Oman,HFCC
5970000,AM,China National Radio,22:55,01:20,Chinese,Lanzhou,China,1234567,,50,0,China,HFCC
5975000,AM,China National Radio,06:00,15:05,Korean,Beijing,China,1234567,,100,63,China,HFCC
